Destination,Dates,Price,Group,Period,Status,Regio
Dar es Salaam,"['17.04.2023', '14.05.2023']",462,fernreisen,2023-04,2023-01-28,Africa
Addis Abeba,"['10.10.2023', '25.10.2023']",465,fernreisen,2023-10,2023-01-28,Africa
Dublin,"['22.08.2023', '05.09.2023']",67,sommerferien,2023-08,2023-01-28,Europe
Zadar,"['23.08.2023', '06.09.2023']",68,sommerferien,2023-08,2023-01-28,Europe
Brindisi,"['07.08.2023', '23.08.2023']",88,sommerferien,2023-08,2023-01-28,Europe
Neapel,"['27.08.2023', '03.09.2023']",97,sommerferien,2023-08,2023-01-28,Europe Italy
Malta,"['25.08.2023', '04.09.2023']",105,sommerferien,2023-08,2023-01-28,Europe
Palermo,"['21.08.2023', '30.08.2023']",116,sommerferien,2023-08,2023-01-28,Europe Italy
Athen,"['03.08.2023', '17.08.2023']",141,sommerferien,2023-08,2023-01-28,Europe
Madrid,"['02.09.2023', '09.09.2023']",141,sommerferien,2023-09,2023-01-28,Europe Spain
Lissabon,"['26.08.2023', '05.09.2023']",144,sommerferien,2023-08,2023-01-28,Europe Spain
Menorca,"['03.09.2023', '10.09.2023']",144,sommerferien,2023-09,2023-01-28,Europe Spain
Valencia,"['28.08.2023', '04.09.2023']",145,sommerferien,2023-08,2023-01-28,Europe Spain
Porto,"['12.08.2023', '31.08.2023']",149,sommerferien,2023-08,2023-01-28,Europe Spain
Riga,"['03.09.2023', '11.09.2023']",149,sommerferien,2023-09,2023-01-28,Europe
Ibiza,"['02.09.2023', '14.09.2023']",172,sommerferien,2023-09,2023-01-28,Europe Spain
Malaga,"['01.09.2023', '11.09.2023']",188,sommerferien,2023-09,2023-01-28,Europe Spain
Casablanca,"['04.09.2023', '13.09.2023']",195,sommerferien,2023-09,2023-01-28,
Larnaca,"['02.09.2023', '13.09.2023']",196,sommerferien,2023-09,2023-01-28,Europe
Sevilla,"['01.09.2023', '09.09.2023']",196,sommerferien,2023-09,2023-01-28,Europe Spain
Marrakesch,"['04.09.2023', '13.09.2023']",197,sommerferien,2023-09,2023-01-28,Africa
Faro,"['02.09.2023', '09.09.2023']",199,sommerferien,2023-09,2023-01-28,Europe Spain
Kreta Heraklion,"['04.09.2023', '14.09.2023']",223,sommerferien,2023-09,2023-01-28,Europe
Reykjavik Keflavik,"['27.08.2023', '11.09.2023']",224,sommerferien,2023-08,2023-01-28,Europe
Paphos,"['03.08.2023', '13.08.2023']",277,sommerferien,2023-08,2023-01-28,Europe
Tel Aviv,"['03.09.2023', '11.09.2023']",295,sommerferien,2023-09,2023-01-28,MENA
New York La Guardia,"['25.08.2023', '08.09.2023']",338,sommerferien,2023-08,2023-01-28,USA East
Philadelphia,"['24.08.2023', '23.09.2023']",381,sommerferien,2023-08,2023-01-28,USA East
Austin,"['27.08.2023', '13.09.2023']",401,sommerferien,2023-08,2023-01-28,USA
Atlanta,"['01.09.2023', '17.09.2023']",420,sommerferien,2023-09,2023-01-28,USA East
West Palm Beach,"['01.09.2023', '27.09.2023']",420,sommerferien,2023-09,2023-01-28,USA East
Sarasota,"['29.08.2023', '13.09.2023']",426,sommerferien,2023-08,2023-01-28,USA East
Dallas,"['21.08.2023', '15.09.2023']",429,sommerferien,2023-08,2023-01-28,USA
Washington DC,"['27.08.2023', '13.09.2023']",433,sommerferien,2023-08,2023-01-28,USA East
San Diego,"['24.08.2023', '13.09.2023']",447,sommerferien,2023-08,2023-01-28,USA West
